epoch,AUROC
1,
2,
3,
4,0.991455078125
5,0.9890380859375
6,0.98907470703125
7,0.989300537109375
8,0.9947021484375
9,0.99365234375
10,0.998388671875
11,0.994775390625
12,0.99674072265625
13,0.99183349609375
14,0.9930908203125
15,0.99029541015625
16,0.99564208984375
17,0.99603271484375
18,0.9934326171875
19,0.9943603515625
20,0.99681396484375
21,0.982421875
22,0.99423828125
23,0.9972412109375
24,0.99202880859375
25,0.998876953125
26,0.99903564453125
27,0.99801025390625
28,0.99808349609375
29,0.98170166015625
30,0.98763427734375
31,0.992236328125
32,0.9958740234375
33,0.98292236328125
34,0.9951171875
35,0.99949951171875
36,0.9994140625
37,0.99910888671875
38,0.99912109375
39,0.9988525390625
40,0.98447265625
41,0.97957763671875
42,0.99803466796875
43,0.9988037109375
44,0.99913330078125
45,0.99195556640625
46,0.99678955078125
47,0.9976440429687501
48,0.99921875
49,0.99605712890625
50,0.9913330078125
