0.00142316,0.02175660,0.97682023
0.00353154,0.03054695,0.96592152
0.00241045,0.05347368,0.94411582
0.00272337,0.05671404,0.94056261
0.00721620,0.06139173,0.93139207
0.01190944,0.04463050,0.94346005
0.01549396,0.03215883,0.95234728
0.00293228,0.01758147,0.97948623
0.00247584,0.02889598,0.96862811
0.00645647,0.03069131,0.96285230
0.03447533,0.00940576,0.95611894
0.00398811,0.03238254,0.96362942
0.00097145,0.03065942,0.96836913
0.00583802,0.02604415,0.96811777
0.00246889,0.11572152,0.88180959
0.00462371,0.07639930,0.91897702
0.00742415,0.02777378,0.96480209
0.00061111,0.07667097,0.92271787
0.00225435,0.01387460,0.98387098
0.02255734,0.01221400,0.96522874
0.00360457,0.01790846,0.97848696
0.00788164,0.07589547,0.91622281
0.01309042,0.01533252,0.97157705
0.00062751,0.10802339,0.89134902
0.00433663,0.07721406,0.91844940
0.03871276,0.00495853,0.95632863
0.00595089,0.03539956,0.95864952
0.00155530,0.05204116,0.94640344
0.00812589,0.02852941,0.96334469
0.00174268,0.01660128,0.98165601
0.00339009,0.02605346,0.97055650
0.00264588,0.08311985,0.91423428
0.00274986,0.05672581,0.94052434
0.00885892,0.02322526,0.96791583
0.00148915,0.07097872,0.92753214
0.00192421,0.03542803,0.96264780
0.00430256,0.04416874,0.95152873
0.00248805,0.04463978,0.95287216
0.00483817,0.06067672,0.93448508
0.00362544,0.02807409,0.96830052
0.00239630,0.01581437,0.98178929
0.00487840,0.05522551,0.93989605
0.00153932,0.06935112,0.92910957
0.00501181,0.03804196,0.95694613
0.00164453,0.02345674,0.97489876
0.00912479,0.00879245,0.98208272
0.00482424,0.02410807,0.97106767
0.00333937,0.02474959,0.97191107
0.00341717,0.01345111,0.98313177
0.00335666,0.01967863,0.97696459
0.00570649,0.01633383,0.97795975
0.00273711,0.02675577,0.97050720
0.01952422,0.01628700,0.96418875
0.00437570,0.04165376,0.95397049
0.00141680,0.05870893,0.93987423
0.00189417,0.11260423,0.88550156
0.00859179,0.01137157,0.98003668
0.00316364,0.02361268,0.97322369
0.01234628,0.02815454,0.95949912
0.00139167,0.05013948,0.94846892
0.00514298,0.01913730,0.97571975
0.00426606,0.02992890,0.96580505
0.00606431,0.02596654,0.96796924
0.00191080,0.03356823,0.96452087
0.01363897,0.01785759,0.96850342
0.00357955,0.06953684,0.92688358
0.00171022,0.05219257,0.94609725
0.00780081,0.02779695,0.96440226
0.01361507,0.03398956,0.95239538
0.00289903,0.05235249,0.94474852
0.00408408,0.03578114,0.96013486
0.00458397,0.03837549,0.95704055
0.00605836,0.02472037,0.96922123
0.00321948,0.04101834,0.95576215
0.03524465,0.01028066,0.95447469
0.00413396,0.02962708,0.96623892
0.00216411,0.07051973,0.92731607
0.00232165,0.04494954,0.95272875
0.00448652,0.05001951,0.94549400
0.00108965,0.04290718,0.95600325
0.00515317,0.03130489,0.96354187
0.00233677,0.03353833,0.96412480
0.00266183,0.03530758,0.96203065
0.00212169,0.03426355,0.96361482
0.00210932,0.05864380,0.93924683
0.01009436,0.03473151,0.95517415
0.00157826,0.03166241,0.96675926
0.00220410,0.03445346,0.96334249
0.01738506,0.00997880,0.97263622
0.00458044,0.02621976,0.96919978
0.00347931,0.03674065,0.95978004
0.00127815,0.02886861,0.96985328
0.00540956,0.02357275,0.97101766
0.00286171,0.06626141,0.93087697
0.00586443,0.05012663,0.94400895
0.00223472,0.03576702,0.96199822
0.00564805,0.03259405,0.96175790
0.00176549,0.01035803,0.98787642
0.00316865,0.01793861,0.97889268
0.00431941,0.01255456,0.98312598
0.00105714,0.04186496,0.95707780
0.00091636,0.05333928,0.94574440
0.00905337,0.01744642,0.97350025
0.00665485,0.01196453,0.98138064
0.00193761,0.11724581,0.88081658
0.00382274,0.08550727,0.91066992
0.00303033,0.03707119,0.95989853
0.00336476,0.01537771,0.98125756
0.00163582,0.04799743,0.95036674
0.00408346,0.01974704,0.97616947
0.00443697,0.07378018,0.92178291
0.00508354,0.02428672,0.97062969
0.00589694,0.02759716,0.96650600
0.00142124,0.05242847,0.94615024
0.00445231,0.05422169,0.94132590
0.00921626,0.01810497,0.97267872
0.00420963,0.05356986,0.94222063
0.00156876,0.04369499,0.95473617
0.00815548,0.03897439,0.95287007
0.00371050,0.03401079,0.96227872
0.00540538,0.01296515,0.98162949
0.00504134,0.03368907,0.96126956
0.00325893,0.04638103,0.95036000
0.00276585,0.02096054,0.97627354
0.00618135,0.03388199,0.95993668
0.00178188,0.05960320,0.93861490
0.00800280,0.01372764,0.97826946
0.00143121,0.05709780,0.94147098
0.00182522,0.05226313,0.94591159
0.00288138,0.06750108,0.92961752
0.00376414,0.03608936,0.96014649
0.00342353,0.01940008,0.97717643
0.00571773,0.04631614,0.94796622
0.00936152,0.03554812,0.95509034
0.00437406,0.03784354,0.95778233
0.00531643,0.01588177,0.97880185
0.00253204,0.03286676,0.96460122
0.00287603,0.03182961,0.96529436
0.00193944,0.03254039,0.96552014
0.00197536,0.04973594,0.94828880
0.00453295,0.02264432,0.97282279
0.00235051,0.03113681,0.96651268
0.00389950,0.01998674,0.97611374
0.00734515,0.02957970,0.96307516
0.01037150,0.02937641,0.96025205
0.00330567,0.04896769,0.94772655
0.00380405,0.01896639,0.97722960
0.00127593,0.04470857,0.95401555
0.00214522,0.03787712,0.95997763
0.00201702,0.03501570,0.96296728
0.00155336,0.05491846,0.94352829
0.00157755,0.03864849,0.95977402
0.01187467,0.00920575,0.97891963
